id;created_at;user_name;user_screen_name;user_followers_count;text;retweet_count;favorite_count;retweeted_status_retweet_count;retweeted_status_id;retweeted_status_favorite_count;retweeted_status_text;entities_hashtags_0_text;entities_hashtags_1_text;entities_hashtags_2_text;entities_hashtags_3_text;lang;user_location;coordinates_coordinates_0;coordinates_coordinates_1;place_country;place_country_code;place_full_name;place_id;place_name;place_place_type;id_area
881523479450877952;2017-07-02 14:42:30;3a54da4cca91a6626ff4d95122862e35;8c1fb23b0ef0736aee0b185f27771131;160;"Top KDnuggets tweets, Jun 21-27: Intro Key #DataScience Concepts; Emerging #BigData #DeepLearning #Python Ecosyste… https://t.co/ncZ3uY8B3v";0;0;;;;;DataScience;BigData;DeepLearning;Python;en;bengaluru, india;;;;;;;;;
882186249620013056;2017-07-04 10:36:06;032a3000e2126ef1c3fd69e45548c7ee;3d43afe3200b6513eeb539b84881b54e;213;RT @LeadSquared: How can #MarketingAutomation and #CRM help #insurance companies boost their productivity? Find out here: https://t.co/pE8a…;0;0;2.0;8.82118768725418e+17;0.0;How can #MarketingAutomation and #CRM help #insurance companies boost their productivity? Find out here: https://t.co/pE8aejmk3p.;MarketingAutomation;CRM;insurance;;en;bengaluru, india;;;;;;;;;
881752834860924934;2017-07-03 05:53:52;02d4d207fbc6caa93902dfa98e6d10da;ef1902362f6c75c7f2e4cf2d562cb6ab;83;RT @Omkar_Raii: #Bigdata analytics to become $16 billion #industry by 2025 https://t.co/5hbwb0uAyf;0;0;3.0;8.817504539517501e+17;3.0;#Bigdata analytics to become $16 billion #industry by 2025 https://t.co/5hbwb0uAyf;Bigdata;industry;;;en;bengaluru, india;;;;;;;;;
880788358632325120;2017-06-30 14:01:23;f10d04e6548d36cdd496a26f72bdc784;d635d05cd81cc574accf639c48e55277;2622;RT @rrp91274: The #BigData Exploration: Identify Your #Data to Make Better Decisions [#Infographics] #Analytics #SocialMedia #IoT… ;0;0;3.0;8.426314786933842e+17;5.0;The #BigData Exploration: Identify Your #Data to Make Better Decisions [#Infographics] #Analytics #SocialMedia #IoT… https://t.co/FrcpVfB3AT;BigData;Data;Infographics;Analytics;en;bengaluru, india;;;;;;;;;
882099296170115072;2017-07-04 04:50:35;e3c2533ed47c2c63b5262f97fbee6cfd;7ddbc00d8257119d42f62ddabf9ec2f5;3097;RT @KirkDBorne: Try the @BoozAllen Sailfish #DataScience Platform w/ free trial period: https://t.co/dm4qRifvI6 by @BoozDataScience… ;0;0;7.0;8.820946335385272e+17;5.0;Try the @BoozAllen Sailfish #DataScience Platform w/ free trial period: https://t.co/dm4qRifvI6 by @BoozDataScience… https://t.co/465W57DCcu;DataScience;;;;en;bengaluru, india;;;;;;;;;
882099256928153600;2017-07-04 04:50:26;e3c2533ed47c2c63b5262f97fbee6cfd;7ddbc00d8257119d42f62ddabf9ec2f5;3097;RT @dj_shaily: @DeepLearn007: Data's role in gaining valuable financial insights @SpirosMargaris #AI #MachineLearning #fintech #BigData #ML…;0;0;6.0;8.82095022337704e+17;1.0;@DeepLearn007: Data's role in gaining valuable financial insights @SpirosMargaris #AI #MachineLearning #fintech #BigData #ML #tech…;AI;MachineLearning;fintech;BigData;en;bengaluru, india;;;;;;;;;
881875553678237696;2017-07-03 14:01:31;9c0dd3060c1644838f5c1cd62f479d23;4526719e120af364349f462f991c5dba;1409;Best open source graph database projects. https://t.co/FsQ0TskFkE #opensource #graphdatabase;0;0;;;;;opensource;graphdatabase;;;en;bengaluru, india;;;;;;;;;
880743091283656704;2017-06-30 11:01:31;9c0dd3060c1644838f5c1cd62f479d23;4526719e120af364349f462f991c5dba;1403;Best open source graph database projects. https://t.co/FsQ0TskFkE #opensource #graphdatabase;0;0;;;;;opensource;graphdatabase;;;en;bengaluru, india;;;;;;;;;
882186262026698752;2017-07-04 10:36:09;f412ae4dded182acd7b84d032f27d2e8;9cb87385155ff0e4911fd698dc9a3bfe;1064;RT @openscience_in: Current concerns and challenges relating to open government data in Canada #OpenData : https://t.co/aFFXn10hIf;0;0;1.0;8.737169389579674e+17;1.0;Current concerns and challenges relating to open government data in Canada #OpenData : https://t.co/aFFXn10hIf;OpenData;;;;en;bengaluru, india;;;;;;;;;
880764908580724736;2017-06-30 12:28:12;563fa9d8bab7f8d66dd5f22ae7899cbb;b4bcf98e07e84d4a373c0536ed9c032f;110;"#Accenture plans $1.8b #acquisition—of firms in #Analytics&amp; #CloudComputing to grow faster than #TCS #Infosys #Wipro
https://t.co/IkjGOdpmnf";0;0;;;;;Accenture;acquisition;Analytics;CloudComputing;en;bengaluru, india;;;;;;;;;
881212775426478080;2017-07-01 18:07:52;0ab99c40e8caa404dfd9fb19d84a7088;50b4cb9b18f23d3f7508d38e97ff7cfe;94;"RT @shakthi_hs: #DreamzGKFraud 
@CybercrimeCID @CIDKarnataka 
Requesting to arrest all the dreamz MD's &amp; CRM's before escaping.
@CMofKarnat…";0;0;33.0;8.764477112093e+17;12.0;"#DreamzGKFraud 
@CybercrimeCID @CIDKarnataka 
Requesting to arrest all the dreamz MD's &amp; CRM's before escaping.
@CMofKarnataka @CPBlr";DreamzGKFraud;;;;en;bengaluru, india;;;;;;;;;
882099234547302400;2017-07-04 04:50:20;e3c2533ed47c2c63b5262f97fbee6cfd;7ddbc00d8257119d42f62ddabf9ec2f5;3097;RT @KirkDBorne: Meta-Collections of #DataScience articles at @DataScienceCtrl https://t.co/8rFVNdnXv0 #abdsc #AI #MachineLearning… ;0;0;8.0;8.82095566733312e+17;9.0;Meta-Collections of #DataScience articles at @DataScienceCtrl https://t.co/8rFVNdnXv0 #abdsc #AI #MachineLearning… https://t.co/ZcXyVvV73E;DataScience;abdsc;AI;MachineLearning;en;bengaluru, india;;;;;;;;;
881314094648897536;2017-07-02 00:50:28;e3c2533ed47c2c63b5262f97fbee6cfd;7ddbc00d8257119d42f62ddabf9ec2f5;3067;RT @reach2ratan: How #IoT will be Adopted? https://t.co/cc623DvwEb #Bigdata #datascience #analytics #makeyourownlane #defstar5… ;0;0;15.0;8.813094650977608e+17;16.0;How #IoT will be Adopted? https://t.co/cc623DvwEb #Bigdata #datascience #analytics #makeyourownlane #defstar5… https://t.co/P7grmQpT4Z;IoT;Bigdata;datascience;analytics;en;bengaluru, india;;;;;;;;;
881773941244559360;2017-07-03 07:17:44;0bc9c9feaba7be36fa649ae311a0c182;1ce1659984ec46d8db22a0d849f62ca8;30;WittyParrot for #Oracle #SalesCloud Integration helps the sales people to address the clients in real time… https://t.co/TQmL3CyN4O;0;0;;;;;Oracle;SalesCloud;;;en;bengaluru, india;;;;;;;;;
880830838778327040;2017-06-30 16:50:11;e3c2533ed47c2c63b5262f97fbee6cfd;7ddbc00d8257119d42f62ddabf9ec2f5;3039;"RT @LiquidHub: How Important Is #DigitalMarketing?

#makeyourownlane #defstar5 #mpgvip #Entrepreneur #Startup #fintech #IoT #SMM… ";0;0;16.0;8.808296098262794e+17;11.0;"How Important Is #DigitalMarketing?

#makeyourownlane #defstar5 #mpgvip #Entrepreneur #Startup #fintech #IoT #SMM… https://t.co/ie2tLM8TJ7";DigitalMarketing;makeyourownlane;defstar5;mpgvip;en;bengaluru, india;;;;;;;;;
